"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 10:08:50 GMT 2023","Mon Dec 11 10:08:59 GMT 2023","9309","Log in Feature","","","","","Login Functionality",""
"failed","Mon Dec 11 10:09:06 GMT 2023","Mon Dec 11 10:09:27 GMT 2023","21281","Smoke Suite","","","","","validate the plan tab",""
