"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 09:13:00 UTC 2023","Tue Dec 12 09:13:11 UTC 2023","10931","Log in Feature","","","","","Login Functionality",""
"passed","Tue Dec 12 09:13:18 UTC 2023","Tue Dec 12 09:13:53 UTC 2023","34918","Smoke Suite","","","","","validate the plan tab",""
