"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 13:04:19 IST 2023","Wed Dec 06 13:04:33 IST 2023","14467","Log in Feature","","","","","Login Functionality",""
"failed","Wed Dec 06 13:04:41 IST 2023","Wed Dec 06 13:05:15 IST 2023","34300","Smoke Suite","","","","","validate the plan tab",""
