"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 07:19:29 GMT 2023","Tue Dec 12 07:19:38 GMT 2023","9348","Log in Feature","","","","","Login Functionality",""
"passed","Tue Dec 12 07:19:45 GMT 2023","Tue Dec 12 07:20:19 GMT 2023","33659","Smoke Suite","","","","","validate the plan tab",""
