"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 12 06:57:07 GMT 2023","Tue Dec 12 06:57:18 GMT 2023","10831","Log in Feature","","","","","Login Functionality",""
"passed","Tue Dec 12 06:57:25 GMT 2023","Tue Dec 12 06:58:00 GMT 2023","35227","Smoke Suite","","","","","validate the plan tab",""
