"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 13:25:11 GMT 2023","Mon Dec 11 13:25:48 GMT 2023","37082","Smoke Suite","","","","","validate the plan tab",""
"passed","Mon Dec 11 13:24:51 GMT 2023","Mon Dec 11 13:25:04 GMT 2023","12400","Log in Feature","","","","","Login Functionality",""
